file,skeleton_variant,deviation_reason,h3_logic,motivation_pattern,contribution_form,formula_style,table_types,pros_themes,transferable,category,date,chars,n_h3,n_img,n_math,n_pros,h2_seq
02-ft4cip-functional-tree-classification-class.md,预备知识插入,方法前插「预备知识」对比 UDT/MDT/MT/FT 四类树并配图,按流程步骤,综述式铺陈,散文整段,三段式完整,符号表,重采样不平衡/实验充分,Y，类不平衡对应无人机小目标/少数类，每组件末「和其他算法的区别在于…」↔YOLO 组件替换消融，110 数据集贝叶斯检验↔多数据集 mAP 显著性检验,决策树,2023-08-08,2754,13,17,0,3,研究动机 > 文章贡献 > 预备知识 > 本文方法 > 实验结果 > 优点和创新点
03-tree-decision-trees-decision-graphs.md,标准,-,混合,综述式铺陈,散文整段,三段式完整,无表,可解释性/计算效率,Y，节点共享+「先定义损失再增长结构」↔检测特征复用与结构搜索；全篇公式皆为截图须改 LaTeX,决策树,2023-08-30,4428,6,18,0,3,研究动机 > 文章贡献 > 本文方法 > 实验结果 > 优点和创新点
04-pctbagging-inner-ensembles-trade-off-between.md,预备知识插入,贡献与方法之间插入 H2「合并树构建」补 CTC 前置算法，本文方法仍保留,按模块,综述式铺陈,散文整段,无公式,无表,可解释性/实验充分,Y，96 数据集 Friedman+贝叶斯符号秩检验↔多数据集 mAP 显著性检验；单一超参数连续调节性能-可解释权衡↔检测精度-速度档位权衡,决策树,2023-08-22,3112,6,27,0,3,研究动机 > 文章贡献 > 合并树构建 > 本文方法 > 实验结果 > 优点和创新点
05-vanilla-gradient-descent-oblique-decision.md,标准,-／按模块,两列表（现有方法,局限性）,散文整段,三段式完整,组件对应表,理论统一等价/可微端到端,Y，语义等价定理正反证明+组件对应表+分类/回归/RL 三任务并列↔检测多任务并列与「模块等价性」论证,决策树,2025-10-25,3926,8,11,9,4,研究动机 > 文章贡献 > 本文方法 > 实验结果 > 优点和创新点
06-gradtree-learning-axis-aligned-decision-trees.md,预备知识插入,方法前插 H2「预备知识」，下设 Entmax/Hardmax 两个 H3 补激活函数,按流程步骤,编号列表逐个点评,散文整段,三段式完整,符号表+方法对比表,可微端到端/可解释性,Y，C1/C2/C3 编号障碍逐个击破↔检测小目标/遮挡/尺度逐条破解；ST entmax 消融↔换模块消融,决策树,2025-10-27,3963,9,13,41,3,研究动机 > 文章贡献 > 预备知识 > 本文方法 > 实验结果 > 优点和创新点
07-bivariate-decision-trees-smaller-interpretable.md,标准,-,按定义-结构-变体,编号列表逐个点评,散文整段,三段式完整,无表,稀疏结构/可解释性,Y，三分裂方案+正则化路径/相位图↔检测多尺度分支的成本-收益选择；特征成本正则化↔参数量与 GFLOPs 约束,决策树,2025-10-28,5421,9,14,70,3,研究动机 > 文章贡献 > 本文方法 > 实验结果 > 优点和创新点
08-symbolic-regression-enhanced-decision-trees.md,标准,-,无H3,综述式铺陈,散文整段,三段式完整,无表,可解释性/鲁棒泛化,Y，合成集→真实集→噪声鲁棒→可解释分析四段实验↔检测合成/消融/mAP/可视化四段；SR 搜索本身不迁移,决策树,2025-10-29,1626,4,9,17,0,研究动机 > 文章贡献 > 本文方法 > 实验结果 > 优点和创新点
09-oblique-decision-trees-derivatives-relu.md,预备知识插入,文首增「预备知识」定义平衡斜树函数类，方法后增独立「理论分析」H2,混合,综述式铺陈,散文整段,三段式完整,符号表+方法对比表,可微端到端+理论证明,Y：可微重构＋等价性定理＋复杂度分析的写法可直接套用于端到端可微检测模块,决策树,2026-03-17,5947,11,5,201,3,研究动机 > 文章贡献 > 预备知识 > 本文方法 > 理论分析 > 实验结果 > 优点和创新点
10-differentiable-decision-tree-relu-argmin.md,方法名替换H2,方法段拆为「无约束优化重构」「基于梯度的整树优化」两个技术名 H2，无「本文方法」,按流程步骤,两列表（现有方法／局限性）,散文整段,三段式完整,方法对比表,可微端到端+计算效率,Y：退火/热启动等训练策略的叙述模板可直接迁移到检测器训练技巧,决策树,2026-04-23,5775,14,12,98,3,研究动机 > 文章贡献 > 斜决策树训练的无约束优化重构 > 基于梯度的整树优化之可微决策树训练 > 实验结果 > 优点和创新点
01-deep-forest.md,其他,结尾为「未来工作」而非「优点和创新点」，全篇无优点条目,按模块,编号列表逐个点评,散文整段,无公式,无表,特征工程+实验充分,Y：「设计来源」溯源式小节可套用于讲清改进灵感来源,决策森林,2023-11-23,4845,11,19,0,0,研究动机 > 文章贡献 > 设计来源 > 本文方法 > 实验结果 > 未来工作
02-improving-deep-forest-screening.md,标准,-,按模块,编号列表逐个点评,散文整段,无公式,无表,计算效率+特征工程,Y：效率瓶颈→筛选机制的动机链可迁移到轻量化/早退出类检测论文,决策森林,2026-04-16,5285,8,22,0,3,研究动机 > 文章贡献 > 本文方法 > 实验结果 > 优点和创新点
03-improving-deep-forest-exploiting-high-order.md,标准,-,按流程步骤,编号列表逐个点评,散文整段,无公式,组件对应表,特征工程+计算效率,Y：「原表示信息量不足」的缺点定位法可迁移到特征融合改进,决策森林,2023-09-14,2804,6,12,0,3,研究动机 > 文章贡献 > 本文方法 > 实验结果 > 优点和创新点
04-dbc-forest-deep-forest-binning-confidence.md,标准,-,按定义-结构-变体,综述式铺陈,散文整段,无公式,无表,鲁棒泛化+实验充分,Y：「复述基线机制→失效反例→改进」三段式最适配消融型检测论文,决策森林,2023-10-08,2648,10,22,0,3,研究动机 > 文章贡献 > 本文方法 > 实验结果 > 优点和创新点
05-learning-weak-label-data-deep-forest.md,标准,-,按模块,编号列表逐个点评,散文整段,无公式,组件对应表,重采样不平衡+特征工程,Y：新任务场景＋旧模型不适配的嫁接式动机可迁移到弱标注检测,决策森林,2023-10-07,2443,8,13,0,3,研究动机 > 文章贡献 > 本文方法 > 实验结果 > 优点和创新点
06-wcdforest-weighted-cascade-deep-forest.md,标准,-,按模块（3 个改进模块；实验节按对比/运行时间/消融切分，消融下再分 H4）,编号列表逐个点评（「但 gcForest 存在如下三个问题：」）,散文整段,缺其中解释（公式图为权重式，符号 C、S 在图的**前一句**已定义完）,无表,特征工程,Y：「原方法缺陷→加权策略→逐模块消融（含平均下降 x%）」可平移为 YOLO 子模块改进笔记,决策森林,2023-10-27,2319,7,15,0,3,研究动机 > 文章贡献 > 本文方法 > 实验结果 > 优点和创新点
07-boosttree-boostforest-ensemble-learning.md,预备知识插入,贡献后插「预备知识」H2 列 5 种启发策略，并以「由于涉及的预备知识较多，因此在本博客中不进行赘述」收口,按定义-结构-变体（总体思路→回归/二分类/多分类→BoostForest→实现细节）,编号列表逐个点评（「需要解决三个问题：」）,散文整段,三段式完整,组件对应表（节点划分策略／说明）,理论证明+实验充分,Y：按任务分述＋逐式推导，可套用于检测 head/loss 的分任务讲解,决策森林,2024-03-11,5957,14,47,0,4,研究动机 > 文章贡献 > 预备知识 > 本文方法 > 实验结果 > 优点和创新点
08-cert-df-computing-efficient-robust-distributed-deep.md,其他,预备知识 H2（RSP/BLB）＋方法后**中置**「算法分析」H2（计算/通信复杂度 O()、鲁棒性分析），非尾部,混合（先公式 1-14 建符号体系，后按组件/流程展开）,综述式铺陈（DNN→gcForest→ForestLayer→BLB-gcForest 链式递进，无编号列表）,散文整段,三段式完整,符号表（深度森林/CNN/LSTM 参数／设置）,计算效率+鲁棒泛化,Y：加速比、CPU/内存开销、故障恢复时间等维度正是实时/边缘检测论文所需,决策森林,2024-03-17,8652,14,32,0,3,研究动机 > 文章贡献 > 预备知识 > 本文方法 > 算法分析 > 实验结果 > 优点和创新点
09-tri-objective-optimization-based-cascade-ensemble-pruning.md,标准,-,按流程步骤（编码→适应度→进化→选解→级联框架）,综述式铺陈,散文整段,三段式完整,消融变体表+方法对比表+符号表,稀疏结构+实验充分,Y：多目标先合成一个向量式、再逐目标拆图解释，可迁移到精度-速度权衡与多任务损失,决策森林,2024-05-06,5389,9,26,0,3,研究动机 > 文章贡献 > 本文方法 > 实验结果 > 优点和创新点
10-cost-sensitive-deep-forest-price-prediction.md,标准,骨架标准，但实验节 H3 按**数据集**（汽车共享/房屋租赁/房地产销售）而非实验类型切分,混合（方法按模块，实验按数据集）,综述式铺陈,散文整段,三段式完整,无表,重采样不平衡+特征工程,N：代价矩阵与区间离散化绑定表格回归任务，仅「按业务代价改造损失」这一层抽象可借,决策森林,2024-07-31,2861,5,17,0,2,研究动机 > 文章贡献 > 本文方法 > 实验结果 > 优点和创新点
11-grande-gradient-based-decision-tree-ensembles.md,预备知识插入,插「预备知识」H2，并互链自己的 GradTree 笔记、复用其配图资产,按模块（加权树集成/可微分分割/实例级权重/正则化）,综述式铺陈,散文整段,三段式完整（行内 LaTeX 标符号＋图片放整式，**图后为性质解释而非符号解释**）,无表,可微端到端+可解释性,Y：可微化＋实例级权重＋独立可解释性分析节，可直接套用于检测器消融与可视化,决策森林,2025-11-02,2648,9,13,10,3,研究动机 > 文章贡献 > 预备知识 > 本文方法 > 实验结果 > 优点和创新点
01-gradient-boosted-feature-selection.md,预备知识插入,贡献后插「预备知识」H2，用 5 个公式铺 L1→Capped L1→Boosting 变换空间，方法段才做改造,混合（推导链：目标→优化→树搜索；尾部「结构化特征选择」是变体扩展）,综述式铺陈（线性→非线性→可扩展性权衡）,散文整段,三段式完整,无表,特征工程+稀疏结构,Y：「基线正则缺陷→引入新罚项→逐步推导→合成/结构/基准三层实验」可平移为 YOLO 损失改进笔记；「特征数-错误率」曲线对应「参数量-mAP」曲线,特征工程,2024-08-16,3498,7,21,0,3,研究动机 > 文章贡献 > 预备知识 > 本文方法 > 实验结果 > 优点和创新点
02-controlburn-feature-selection-sparse-forests.md,标准,-,混合（整体流程→森林生成→优化变量，后两者下按变体 H4）,综述式铺陈（先给泰坦尼克号反例图再点出相关特征稀释）,散文整段,三段式完整,无表,特征工程+可解释性,Y：「基线失效场景＋图例实证→稀疏正则目标→半合成/基准/真实三层验证」可套用于 NMS、anchor 失效分析；噪声副本实验类比图像退化与遮挡增广,特征工程,2023-08-20,3024,9,20,0,3,研究动机 > 文章贡献 > 本文方法 > 实验结果 > 优点和创新点
03-xrrf-explainable-reasonably-randomised-forest.md,方法名替换H2,「本文方法」H2 换成方法名全称，实验节称「实验分析」且末置「统计验证」H3；方法 H3 按三大卖点命名,混合（顶层按贡献模块：预处理/内在可解释/准确性/可解释性，下层按图算法变体）,综述式铺陈（性能好却丧失可解释性）,散文整段（含「第一步…第二步…第三步…最后」）,三段式完整（符号解释用表代替「其中」）,符号表+组件对应表,可解释性+特征工程,Y：多组件各自可解释＋末置 ANOVA 检验＋多样性度量，可迁移到检测器可视化与消融；雷达图与噪声强度实验可套用于航拍鲁棒性,特征工程,2023-03-23,3869,12,32,0,4,研究动机 > 文章贡献 > eXplainable Reasonably Randomised Forest > 实验分析 > 优点和创新点
04-pareto-based-ensemble-feature-selection-algorithms.md,预备知识插入,贡献后插「相关概念」H2 讲集成 FS/帕累托最优/非支配排序/拥挤距离，方法节只剩一段流水,混合（预备知识按概念切，方法节无 H3 单段展开）,综述式铺陈（分类学：监督三分支＋搜索三策略→集成 FS）,散文整段（首先…接着…最后）,三段式完整,无表,特征工程+计算效率,Y：「多算法输出集成＋双目标帕累托排序＋耗时＋Friedman 检验」可迁移为多检测器融合与 mAP-延迟权衡；「特征排序」需换成候选框或增强策略排序,特征工程,2023-08-14,2868,7,22,0,3,研究动机 > 文章贡献 > 相关概念 > 本文方法 > 实验结果 > 优点和创新点
05-openfe-automated-feature-generation-expert-level.md,其他,方法后中置「理论分析」H2（测试损失证明＋复杂度分析），推导外链给另一篇博客,按流程步骤（流水线：问题定义→扩展→缩减，缩减下 H4 再切两阶段）,综述式铺陈（框架→两个挑战）,散文整段,三段式完整,无表,特征工程+实验充分,Y：最完整模板「框架挑战→子算法 A→子算法 B→理论证明→消融＋耗时＋68 数据集大规模研究」，可套用于自动数据增强与 anchor 搜索；「XX 是否总是有用」的负面结论节同理,特征工程,2024-08-12,4165,12,14,0,4,研究动机 > 文章贡献 > 本文方法 > 理论分析 > 实验结果 > 优点和创新点
06-autolearn-automated-feature-generation-selection.md,标准,-,按流程步骤（流水线：问题定义→设计原理→预处理→挖掘→生成→选择→样例展示）,综述式铺陈（手工特征工程乏味不可伸缩→全属性学习无效）,散文整段,三段式完整,无表,特征工程+计算效率,Y：四阶段流水线＋每阶段配伪代码＋单数据集走查（60→45→2037 对→4073→27 特征）＋可扩展性分析，几乎可原样搬到自动增强笔记,特征工程,2024-08-13,3321,10,11,0,3,研究动机 > 文章贡献 > 本文方法 > 实验结果 > 优点和创新点
07-safe-scalable-automatic-feature-engineering.md,标准,-（复杂度分析置于方法节末 H3，未独立成 H2）,按流程步骤（流水线：整体框架→特征生成→特征选择→复杂度分析，阶段内 H4 按子步骤）,综述式铺陈（分类学：强化学习/迁移元学习/生成选择→各自缺陷）,散文整段,三段式完整,符号表+组件对应表,特征工程+计算效率,Y：工业约束驱动（时空复杂度/可扩展性）→用 XGBoost 缩搜索空间→三阶段过滤→复杂度推导＋耗时＋JSD 稳定性＋迭代轮数＋大规模业务数据，是边缘端 YOLO 部署类论文最可复用的实验组织模板,特征工程,2024-08-20,4158,11,23,0,3,研究动机 > 文章贡献 > 本文方法 > 实验结果 > 优点和创新点
01-smote-regression.md,尾部缺失,无「优点和创新点」节，实验节末图后即收尾（2013 会议短文）,按模块（relevance／欠采样／SMOTE 变体）,综述式铺陈（分类三类解法→回归侧空缺）,散文整段,"无公式（仅行内文本定义 Dr={<x,y>∈D:φ(y)≥t}）",无表,重采样不平衡,Y：重采样范式可平移为检测中的类别不平衡与小目标/难例过采样；F1 换成 mAP 与 PR 曲线,回归,2024-02-25,2138,5,7,0,0,研究动机 > 文章贡献 > 本文方法 > 实验结果
02-smogn-pre-processing-approach-imbalanced-regression.md,尾部缺失,同批最短篇，无优点节；实验节另加「pre 和 recall 的分析」H3,无H3（方法节整段走查伪代码；实验节 H3 按模块）,综述式铺陈（分类成熟→回归/数据流空缺）,散文整段,无公式,无表,重采样不平衡,Y：过采样+安全距离判据类比难例挖掘与样本平衡；pre-recall 权衡段换成精度-召回分析,回归,2024-02-26,1942,3,12,0,0,研究动机 > 文章贡献 > 本文方法 > 实验结果
03-density-based-weighting-imbalanced-regression.md,标准,-（唯实验节深至 H4）,按模块（DenseWeight／稀有度度量／权重函数／DenseLoss），实验节 H3→H4 双层,综述式铺陈（重采样 vs 成本敏感对比递进）,散文整段,三段式完整（公式(1)~(6) 全配铺垫+「其中」）,无表,重采样不平衡+可解释性,Y：损失加权/成本敏感范式可直接套 YOLO 的 Focal/Wise-IoU 类重加权；「单超参 α 权衡常见-稀有」即长尾检测权重,回归,2024-03-03,5020,8,16,0,3,研究动机 > 文章贡献 > 本文方法 > 实验结果 > 优点和创新点
01-evolutionary-forest-regression.md,方法名替换H2,「本文方法」→「进化森林算法」、「实验结果」→「实验分析」；方法节未被拆，仍单 H2 下开 6 个 H3,按流程步骤（框架→个体设计→交叉变异→适应度评估→选择算子→精英保留）,综述式铺陈（方差大→特征空间→GP→集成，四步递进）,其他（先散文述法，再「文章的主要贡献有：」列 2 条）,无公式,无表,特征工程+计算效率,Y：骨架直接套 YOLO 改进文（个体设计→Backbone/Neck/Head，47 倍加速→FPS/Params/GFLOPs），117 数据集多视角实验即多尺度对比,进化计算,2023-03-08,3122,13,19,0,4,研究动机 > 文章贡献 > 进化森林算法 > 实验分析 > 优点和创新点
02-ps-tree-piecewise-symbolic-regression-tree.md,方法名替换H2,「本文方法」→「分段符号回归树」、「实验结果」→「实验分析」；H3 下再开 H4，共 4 级标题,混合（H3 按定义-结构：个体表示／算法流程；H4 按流程步骤与模块混合）,综述式铺陈（黑盒/白盒两分法，逐个点评 CART、PL-Tree、GP 并配拟合曲线图）,散文整段,三段式完整（公式后接「其中…」或「式子中的符号和含义如下表所示」+符号表）,符号表+组件对应表,可解释性+实验充分,Y：自适应分区类比尺度/区域自适应与动态标签分配；「精度-模型大小-训练时间」三目标即 mAP-Params-FPS,进化计算,2023-03-28,6474,6,30,0,6,研究动机 > 文章贡献 > 分段符号回归树 > 实验分析 > 优点和创新点
04-pre-processing-approaches-imbalanced-distributions.md,其他,缺优点和创新点节，实验节以真实数据集案例收尾,混合,综述式铺陈,散文整段,三段式完整（公式为图+数值算例）,无表,重采样不平衡+实验充分,Y·重采样范式与「数据特性影响→真实案例」双段实验可用于小目标/巡检数据,回归,2024-03-07,3333,8,31,0,0,研究动机 > 文章贡献 > 本文方法 > 实验结果
05-imbalanced-regression-extreme-value-prediction.md,标准,-,混合,综述式铺陈,散文整段,三段式完整（含其中句）,无表,理论证明+实验充分,Y·SERA 分层评估可转为按尺寸/难度分层 mAP，新指标设计节写法可整套套用,回归,2024-03-15,6137,5,31,0,3,研究动机 > 文章贡献 > 本文方法 > 实验结果 > 优点和创新点
06-resampling-strategies-imbalanced-regression-survey.md,survey重写,H2 全替换，无动机/贡献/方法/优点节,混合,综述式铺陈,分点,三段式完整,方法对比表,实验充分+重采样不平衡,Y·「RQ→分类法→算法枚举→实验→逐条回答」五段可改写为检测数据增强/采样综述,回归,2025-04-25,7388,12,32,0,0,不平衡回归问题 > 本文目标和贡献 > 基本概念和分类方法 > 重采样算法 > 实验研究
03-multitree-genetic-programming-operators-transfer.md,标准,-,混合,综述式铺陈,散文整段,三段式完整,符号表+方法对比表+消融变体表,可解释性+鲁棒泛化,Y·消融/算子对比/训练时间表可直接换成 YOLO 模块消融与增益计数表,进化计算,2023-08-09,4764,11,33,0,3,研究动机 > 文章贡献 > 本文方法 > 实验结果 > 优点和创新点
04-genetic-programming-multiple-feature-construction.md,预备知识插入,动机与方法之间插入「预备知识」放标准 GP 伪代码,混合,综述式铺陈,散文整段,三段式完整,无表,特征工程+实验充分,Y·五组「A vs B」对比维度可照搬为检测消融，预备知识节可放基线模型结构,进化计算,2024-06-30,3627,8,25,0,3,研究动机 > 文章贡献 > 预备知识 > 本文方法 > 实验结果 > 优点和创新点
01-forgenet-graph-deep-neural-network.md,多H2拆分,实验节拆为「模拟实验」+「真实数据应用」两个 H2,混合,综述式铺陈,散文整段,三段式完整,符号表+组件对应表,可解释性+鲁棒泛化,Y·「合成/仿真+多真实场景」双段实验与「不依赖外部先验」卖点可迁移到巡检,生物信息学,2023-05-23,3692,10,27,0,3,研究动机 > 文章贡献 > 本文方法 > 模拟实验 > 真实数据应用 > 优点和创新点
02-hybrid-deep-forest-based-method-predicting.md,其他,方法节改名「本文工作」且含数据集构建，实验增设「湿实验」「可解释性分析」,混合,综述式铺陈（先应用背景后方法痛点）,散文整段,三段式完整,方法对比表+消融变体表,可解释性+重采样不平衡,Y·「湿实验」对应外场飞行实测，「特征贡献度→领域分析」可转为注意力可视化与场景因素分析,生物信息学,2023-11-06,4248,9,25,0,4,研究动机 > 文章贡献 > 本文工作 > 实验结果 > 优点和创新点
03-gat-enhanced-tabnet-model-heterogeneous-tabular.md,其他,前置 H2「论文概况」，公式用 LaTeX，动机用两列表（2026 新格式样本）／混合,两列表（局限性,说明）,散文整段,三段式完整（LaTeX+符号表）,符号表+组件对应表,可解释性+鲁棒泛化,Y·先验引导构图可换为巡检场景先验分组，跨数据集迁移+参数量/FLOPs 正是 YOLO 类论文标配,生物信息学,2026-05-03,3610,8,11,21,3,论文概况 > 研究动机 > 文章贡献 > 本文方法 > 实验结果 > 优点和创新点
